length of string, number of transitions
(2,5) 
(4,11) 
(6,19) 
(8,29) 
(10,41) 
(12,55) 
(14,71) 
(16,89) 
(18,109) 
(20,131) 
(22,155) 
(24,181) 
(26,209) 
(28,239) 
(30,271) 
(32,305) 
(34,341) 
(36,379) 
(38,419) 
(40,461) 
(42,505) 
(44,551) 
(46,599) 
(48,649) 
(50,701) 
(52,755) 
(54,811) 
(56,869) 
(58,929) 
(60,991) 
(62,1055) 
(64,1121) 
(66,1189) 
(68,1259) 
(70,1331) 
(72,1405) 
(74,1481) 
(76,1559) 
(78,1639) 
(80,1721) 
(82,1805) 
(84,1891) 
(86,1979) 
(88,2069) 
(90,2161) 
(92,2255) 
(94,2351) 
(96,2449) 
(98,2549) 
