length of data to be sorted, number of iterations
(1,2) 
(2,7) 
(3,17) 
(4,26) 
(5,43) 
(6,48) 
(7,61) 
(8,96) 
(9,121) 
(10,148) 
(11,181) 
(12,201) 
(13,287) 
(14,312) 
(15,327) 
(16,393) 
(17,456) 
(18,471) 
(19,568) 
(20,554) 
(21,689) 
(22,695) 
(23,879) 
(24,903) 
(25,978) 
(26,1050) 
(27,1123) 
(28,1293) 
(29,1340) 
(30,1295) 
(31,1586) 
(32,1745) 
(33,1780) 
(34,1824) 
(35,1921) 
(36,2030) 
(37,2184) 
(38,2406) 
(39,2598) 
(40,2532) 
(41,2880) 
(42,2902) 
(43,3062) 
(44,3258) 
(45,3232) 
(46,3435) 
(47,3508) 
(48,3524) 
(49,3761) 
(50,3979) 
(51,4147) 
(52,4394) 
(53,4746) 
(54,4939) 
(55,4866) 
(56,5122) 
(57,5346) 
(58,5577) 
(59,5587) 
(60,5850) 
(61,6196) 
(62,6021) 
(63,6575) 
(64,6058) 
(65,6872) 
(66,7311) 
(67,7144) 
(68,7449) 
(69,7995) 
(70,7962) 
(71,8384) 
(72,8452) 
(73,8809) 
(74,8979) 
(75,9450) 
(76,9284) 
(77,10261) 
(78,9989) 
(79,10353) 
(80,10603) 
(81,10865) 
(82,11207) 
(83,11023) 
(84,12022) 
(85,11683) 
(86,11617) 
(87,12479) 
(88,13296) 
(89,12332) 
(90,13530) 
(91,13873) 
(92,13989) 
(93,14297) 
(94,14378) 
(95,14792) 
(96,14051) 
(97,15102) 
(98,16327) 
(99,16442) 
